단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
e편한세상전하1단지,2013,36250,2025,7,1,59.99,20,전하동,630-1,31170,중개거래,개인,개인
서부성원상떼빌,2005,27400,2025,7,1,84.85,3,서부동,248-24,31170,중개거래,개인,개인
현대3,1987,16000,2025,7,1,59.46,1,전하동,301-5,31170,중개거래,개인,개인
힐스테이트 이스턴베이,2015,39000,2025,7,1,84.9083,27,화정동,949,31170,중개거래,개인,개인
힐스테이트 이스턴베이,2015,40700,2025,7,1,84.9759,12,화정동,949,31170,중개거래,개인,개인
e편한세상전하2단지,2013,45100,2025,7,2,101.99,4,전하동,631-1,31170,중개거래,개인,개인
금강,1990,10100,2025,7,2,53.84,2,화정동,149-1,31170,중개거래,개인,개인
대송현대2,1991,10000,2025,7,2,59.78,4,화정동,149-2,31170,직거래,개인,개인
울산전하푸르지오2단지,2011,32000,2025,7,2,59.8984,12,전하동,660-2,31170,중개거래,개인,개인
전하아이파크,2012,49000,2025,7,2,116.022,5,전하동,640-1,31170,중개거래,개인,개인
현대패밀리서부,1992,10000,2025,7,2,59.78,1,서부동,257-4,31170,직거래,개인,개인
현대패밀리명덕,1992,12700,2025,7,3,59.78,9,서부동,238-29,31170,중개거래,개인,개인
대하크리스탈,1993,12000,2025,7,4,70.17,12,화정동,851-6,31170,직거래,개인,개인
벽산우진,1998,17100,2025,7,4,59.98,20,화정동,240,31170,중개거래,개인,개인
울산지웰시티자이2단지,2023,56000,2025,7,4,84.9976,7,서부동,1055,31170,중개거래,개인,개인
대송현대1,1990,13000,2025,7,5,59.845,5,화정동,162,31170,중개거래,개인,개인
로하스해비치아파트,2016,16800,2025,7,5,84.7079,5,방어동,317-2,31170,중개거래,개인,개인
벽산우진,1998,19500,2025,7,5,78.98,13,화정동,240,31170,중개거래,개인,개인
스위첸웰츠타워2단지,2023,36300,2025,7,5,63.435,34,전하동,782,31170,중개거래,개인,개인
울산전하푸르지오1단지,2011,40700,2025,7,5,84.8283,7,전하동,660-1,31170,중개거래,개인,개인
현대패밀리명덕,1992,12500,2025,7,5,59.78,10,서부동,238-29,31170,중개거래,개인,개인
현대패밀리서부,1992,7000,2025,7,5,49.85,6,서부동,257-4,31170,중개거래,개인,개인
현대패밀리서부,1992,7000,2025,7,5,49.85,6,서부동,257-4,31170,중개거래,개인,개인
힐스테이트 이스턴베이,2015,40800,2025,7,5,84.9759,20,화정동,949,31170,중개거래,개인,개인
에스코빌7차B동,2013,13700,2025,7,6,83.489,4,방어동,219,31170,중개거래,개인,개인
울산지웰시티자이1단지,2023,58500,2025,7,6,84.9957,17,서부동,1049,31170,중개거래,개인,개인
대경넥스빌,2004,17200,2025,7,7,54.8232,9,전하동,301-28,31170,중개거래,개인,개인
대왕암엘크루,2014,29800,2025,7,7,74.54,9,방어동,59-1,31170,중개거래,개인,개인
방어동피닉스,2011,21900,2025,7,7,81.8343,8,방어동,207-2,31170,중개거래,개인,개인
울산전하푸르지오1단지,2011,38400,2025,7,7,84.8959,5,전하동,660-1,31170,중개거래,개인,개인
전하동정림명가의아침,2012,18500,2025,7,7,84.4588,14,전하동,449-6,31170,중개거래,개인,개인
현대패밀리서부,1992,8500,2025,7,7,49.79,10,서부동,257-4,31170,중개거래,개인,법인
e편한세상전하1단지,2013,34500,2025,7,8,84.99,14,전하동,630-1,31170,중개거래,개인,개인
힐스테이트 이스턴베이,2015,34200,2025,7,8,68.9187,33,화정동,949,31170,중개거래,개인,개인
베스트리움,2016,16000,2025,7,9,84.8016,2,방어동,324-4,31170,중개거래,개인,개인
서부성원상떼빌,2005,19000,2025,7,9,59.92,3,서부동,248-24,31170,중개거래,개인,개인
서부성원상떼빌,2005,22500,2025,7,9,59.92,14,서부동,248-24,31170,중개거래,개인,개인
센트럴오션파크,2018,24800,2025,7,9,84.5091,4,방어동,376-10,31170,중개거래,개인,법인
아네스빌,2011,19200,2025,7,9,82.7015,4,방어동,1077-13,31170,중개거래,개인,개인
아네스빌,2011,19200,2025,7,9,82.7015,4,방어동,1077-13,31170,중개거래,개인,개인
힐스테이트 이스턴베이,2015,41500,2025,7,9,84.9083,12,화정동,949,31170,중개거래,개인,개인
대송현대2,1991,13000,2025,7,10,59.78,11,화정동,149-2,31170,중개거래,개인,개인
대송현대2,1991,11700,2025,7,10,53.84,13,화정동,149-2,31170,중개거래,개인,개인
대왕암엘크루,2014,24000,2025,7,10,74.7,22,방어동,59-1,31170,직거래,개인,개인
부림골든,1997,9800,2025,7,10,68.95,8,화정동,858-13,31170,중개거래,개인,개인
현대파라다이스1,1992,14200,2025,7,10,84.88,15,화정동,851,31170,중개거래,개인,개인
늘푸른,1995,8700,2025,7,11,59.85,2,전하동,768,31170,중개거래,개인,개인
대경넥스빌,2004,17300,2025,7,11,54.8232,9,전하동,301-28,31170,중개거래,개인,개인
서부성원상떼빌,2005,30000,2025,7,11,79.21,16,서부동,248-24,31170,중개거래,개인,개인
울산지웰시티자이1단지,2023,61500,2025,7,11,84.9957,11,서부동,1049,31170,중개거래,개인,개인
현대패밀리명덕,1992,10700,2025,7,11,59.78,7,서부동,238-29,31170,중개거래,법인,개인
현대패밀리명덕,1992,11000,2025,7,11,59.78,3,서부동,238-29,31170,중개거래,법인,개인
e편한세상전하1단지,2013,43900,2025,7,12,84.99,34,전하동,630-1,31170,중개거래,개인,개인
대왕암엘크루,2014,31000,2025,7,12,84.62,2,방어동,59-1,31170,중개거래,개인,개인
대하크리스탈,1993,7500,2025,7,12,55.86,4,화정동,851-6,31170,중개거래,개인,개인
문현아이파크,2007,26000,2025,7,12,84.854,1,방어동,1122,31170,중개거래,개인,개인
서부성원상떼빌,2005,31000,2025,7,12,79.21,7,서부동,248-24,31170,중개거래,개인,개인
울산지웰시티자이2단지,2023,53800,2025,7,12,84.9839,10,서부동,1055,31170,중개거래,개인,개인
울산지웰시티자이2단지,2023,53800,2025,7,12,84.9839,10,서부동,1055,31170,중개거래,개인,개인
울산지웰시티자이2단지,2023,51000,2025,7,12,84.9839,13,서부동,1055,31170,중개거래,개인,개인
현대파라다이스1,1992,15000,2025,7,12,69.57,15,화정동,851,31170,중개거래,개인,개인
현대패밀리명덕,1992,12000,2025,7,12,59.78,4,서부동,238-29,31170,중개거래,개인,개인
현대패밀리명덕2,1995,10400,2025,7,12,59.98,2,서부동,238-27,31170,중개거래,개인,개인
울산전하푸르지오1단지,2011,39700,2025,7,13,84.821,10,전하동,660-1,31170,중개거래,개인,개인
현대패밀리명덕2,1995,11250,2025,7,13,59.98,9,서부동,238-27,31170,중개거래,개인,개인
현대패밀리명덕2,1995,11200,2025,7,13,59.98,9,서부동,238-27,31170,중개거래,개인,개인
e편한세상전하1단지,2013,44000,2025,7,14,84.99,7,전하동,630-1,31170,중개거래,개인,개인
e편한세상전하2단지,2013,45300,2025,7,14,101.99,4,전하동,631-1,31170,중개거래,개인,개인
대왕암엘크루,2014,26800,2025,7,14,59.6,11,방어동,59-1,31170,중개거래,개인,개인
울산지웰시티자이2단지,2023,55500,2025,7,14,84.9839,16,서부동,1055,31170,중개거래,개인,개인
힐스테이트 이스턴베이,2015,42500,2025,7,14,84.9759,25,화정동,949,31170,중개거래,개인,개인
