단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
대암훼미리101동,1993,7200,2007,6,1,84.895,5,중산동,533,31200,,,
대암훼미리102동,1993,4500,2007,6,1,59.87,3,중산동,546-6,31200,,,
매곡현대아파트(101~106동),1994,6300,2007,6,1,49.805,5,매곡동,532,31200,,,
문화청솔,1994,7400,2007,6,1,59.57,4,신천동,317-5,31200,,,
삼성코아루,2005,11000,2007,6,1,59.989,15,천곡동,418,31200,,,
쌍용아진그린타운1,1996,9500,2007,6,1,59.98,13,상안동,358-1,31200,,,
현대으뜸타운,1997,9800,2007,6,1,84.73,12,매곡동,233,31200,,,
현대으뜸타운,1997,6000,2007,6,1,59.95,1,매곡동,233,31200,,,
현대으뜸타운,1997,6100,2007,6,1,59.95,7,매곡동,233,31200,,,
현대파크맨션,1996,10500,2007,6,1,84.96,14,매곡동,422-2,31200,,,
협성노블리스,2003,11300,2007,6,1,59.945,10,신천동,358-9,31200,,,
협성노블리스,2003,15200,2007,6,1,77.55,11,신천동,358-9,31200,,,
협성노블리스,2003,15500,2007,6,1,77.55,8,신천동,358-9,31200,,,
그린카운티4,2005,11000,2007,6,2,59.8237,7,달천동,107-6,31200,,,
대암파크랜드,2002,6200,2007,6,2,63.26,10,중산동,688-3,31200,,,
대하그린파크,1993,10700,2007,6,2,84.55,11,매곡동,682,31200,,,
신동,1993,9000,2007,6,3,84.99,1,신천동,430-1,31200,,,
LG진로,1995,12000,2007,6,4,59.94,2,연암동,370,31200,,,
대동황토방,2000,10150,2007,6,4,84.98,2,천곡동,940-10,31200,,,
삼우,1996,5000,2007,6,4,59.76,5,중산동,730,31200,,,
청우그린파크아파트,1995,14000,2007,6,4,84.88,6,화봉동,894-1,31200,,,
한라신천지타운,1993,7900,2007,6,4,59.61,9,신천동,394-1,31200,,,
현대2차,1985,6000,2007,6,4,51.075,4,염포동,64,31200,,,
협성노블리스,2003,13000,2007,6,4,59.945,9,신천동,358-9,31200,,,
호계청구타운,1998,7350,2007,6,4,59.94,2,신천동,486-1,31200,,,
대우,1995,15800,2007,6,5,84.387,8,화봉동,426,31200,,,
대우,1995,13500,2007,6,5,59.037,2,화봉동,426,31200,,,
쌍용아진그린타운1,1996,24000,2007,6,5,134.89,11,상안동,358-1,31200,,,
염포성원상떼빌,2004,11000,2007,6,5,59.89,12,염포동,326,31200,,,
현대1차,1983,6000,2007,6,5,51.075,5,염포동,201,31200,,,
현대으뜸타운,1997,8300,2007,6,5,66.8,7,매곡동,233,31200,,,
삼창에이스파크,1992,8700,2007,6,7,79.2,6,양정동,533-1,31200,,,
쌍용아진그린3,1996,9950,2007,6,7,59.952,10,천곡동,411,31200,,,
염포성원상떼빌,2004,15500,2007,6,7,84.69,20,염포동,326,31200,,,
이화한라동아,1998,4000,2007,6,7,59.76,3,중산동,566-1,31200,,,
중산현대,1995,6500,2007,6,7,59.595,7,중산동,622,31200,,,
중산현대,1995,5000,2007,6,7,59.595,19,중산동,622,31200,,,
협성노블리스,2003,16300,2007,6,7,84.8,13,신천동,358-9,31200,,,
무지개2차,1995,5900,2007,6,8,59.94,6,신천동,250-1,31200,,,
약수제일,1992,5250,2007,6,8,59.97,2,중산동,1010-1,31200,,,
중산현대,1995,4500,2007,6,8,59.595,11,중산동,622,31200,,,
한라신천지타운,1993,9700,2007,6,8,84.6,3,신천동,394-1,31200,,,
현대글로리아,1996,5500,2007,6,8,59.265,19,중산동,617,31200,,,
벽산늘푸른,1994,20300,2007,6,9,84.555,8,연암동,415,31200,,,
성우현대,1993,12500,2007,6,10,78.73,13,신천동,346-5,31200,,,
성우현대,1993,10000,2007,6,10,84.28,3,신천동,346-5,31200,,,
영진그린맨션,1994,9350,2007,6,10,84.82,8,양정동,736-1,31200,,,
성원,1996,8200,2007,6,11,48.78,10,연암동,402-1,31200,,,
영진그린맨션,1994,9700,2007,6,11,82.36,10,양정동,736-1,31200,,,
우방,1998,5350,2007,6,11,49.5,10,천곡동,940-1,31200,,,
효성.삼환아파트,1996,15600,2007,6,11,84.96,4,화봉동,639-1,31200,,,
효성.삼환아파트,1996,18500,2007,6,11,84.96,4,화봉동,639-1,31200,,,
대동한마음타운,1998,7800,2007,6,12,59.79,5,천곡동,940-6,31200,,,
쌍용아진그린4,1998,12000,2007,6,12,73.8,2,천곡동,410-1,31200,,,
염포성원상떼빌,2004,15500,2007,6,12,84.69,9,염포동,326,31200,,,
삼성코아루,2005,16000,2007,6,13,75.993,15,천곡동,418,31200,,,
우방,1998,4500,2007,6,13,49.5,2,천곡동,940-1,31200,,,
현대파크맨션,1996,7600,2007,6,13,59.61,5,매곡동,422-2,31200,,,
동아.청구아파트,1994,10650,2007,6,14,59.99,4,화봉동,452,31200,,,
문화청솔,1994,7100,2007,6,14,59.57,3,신천동,317-5,31200,,,
정림은하수타운,1996,6700,2007,6,14,59.905,5,매곡동,542-22,31200,,,
