단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
문수산동문굿모닝힐,2010,44000,2011,10,1,156.7665,3,범서읍 굴화리,734,31710,,,
범서현대3차,1993,12900,2011,10,1,68.85,10,범서읍 구영리,799-5,31710,,,
벽산,1999,12350,2011,10,1,59.925,23,범서읍 천상리,666-1,31710,,,
수산로얄팰리스,2004,10300,2011,10,1,84.42,7,삼남읍 교동리,1348-3,31710,,,
수산로얄팰리스,2004,10990,2011,10,1,84.42,9,삼남읍 교동리,1348-3,31710,,,
신울산경남아너스빌,2010,23680,2011,10,1,84.7195,21,언양읍 동부리,498,31710,,,
쌍용하나빌리지,1999,12500,2011,10,1,84.76,1,청량읍 삼정리,755,31710,,,
천상동아,1998,23900,2011,10,1,129.42,9,범서읍 천상리,299-1,31710,,,
태영그린,1992,6500,2011,10,1,59.28,5,온양읍 운화리,8-7,31710,,,
한신,1994,11150,2011,10,1,57.9,9,범서읍 구영리,796-2,31710,,,
구영1차우미린,2007,35000,2011,10,2,123.5365,13,범서읍 구영리,204-1,31710,,,
대안IPARK,1993,14500,2011,10,2,84.86,4,온양읍 대안리,542,31710,,,
경동청구타운,1991,9300,2011,10,3,79.535,12,상북면 천전리,532-19,31710,,,
경동태원하이빌,2001,7400,2011,10,3,39.69,14,범서읍 천상리,324-2,31710,,,
디아채,1997,15000,2011,10,3,78.3,19,범서읍 천상리,645,31710,,,
벽산,1999,18500,2011,10,3,84.99,14,범서읍 천상리,666-1,31710,,,
쌍용하나빌리지,1999,14600,2011,10,3,84.76,11,청량읍 삼정리,755,31710,,,
울산교동리슈빌,2008,22300,2011,10,3,84.5903,14,삼남읍 교동리,1555-1,31710,,,
울산온양대우,1998,12850,2011,10,3,59.95,11,온양읍 대안리,196,31710,,,
청구(천상그린타운)1차,1998,14800,2011,10,3,84.86,8,범서읍 천상리,578,31710,,,
경동태원하이빌,2001,12000,2011,10,4,59.961,13,범서읍 천상리,324-2,31710,,,
경동태원하이빌,2001,11800,2011,10,4,59.961,15,범서읍 천상리,324-2,31710,,,
구영1차우미린,2007,30000,2011,10,4,83.3113,16,범서읍 구영리,204-1,31710,,,
구영2차우미린,2007,24800,2011,10,4,74.9978,3,범서읍 구영리,207-1,31710,,,
구영2차푸르지오,2007,24700,2011,10,4,84.7,1,범서읍 구영리,209-1,31710,,,
구영2차푸르지오,2007,23600,2011,10,4,71.94,17,범서읍 구영리,209-1,31710,,,
구영현대아이파크,1991,14500,2011,10,4,70.53,12,범서읍 구영리,798-1,31710,,,
덕정유림,1998,10700,2011,10,4,59.84,11,청량읍 덕하리,404-7,31710,,,
동호그린파크,1992,5500,2011,10,4,57.24,10,온양읍 운화리,5-1,31710,,,
동호대안맨션,1991,10000,2011,10,4,78.68,3,온양읍 대안리,568-2,31710,,,
두산위브,2009,25241,2011,10,4,137.099,9,언양읍 서부리,401,31710,,,
두산위브,2009,21709,2011,10,4,84.947,6,언양읍 서부리,401,31710,,,
두산위브,2009,26338,2011,10,4,137.099,9,언양읍 서부리,401,31710,,,
