단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
동덕현대(104동),1991,14500,2024,2,1,67.435,5,복산동,319,31110,직거래,개인,개인
울산약사더샵,2017,69000,2024,2,1,84.915,10,약사동,1108,31110,중개거래,개인,개인
태산아이빌,2017,31000,2024,2,1,84.02,16,학성동,436-3,31110,직거래,개인,법인
효은하이빌,2007,18000,2024,2,1,80.6307,5,성안동,501-12,31110,중개거래,개인,개인
삼성래미안2차3단지,2004,49000,2024,2,2,84.775,6,약사동,707,31110,중개거래,개인,개인
에일린의뜰,2007,44500,2024,2,2,84.992,5,남외동,500,31110,중개거래,개인,개인
울산약사더샵,2017,68400,2024,2,2,84.915,8,약사동,1108,31110,중개거래,개인,개인
울산약사더샵,2017,55000,2024,2,2,69.943,8,약사동,1108,31110,중개거래,개인,개인
울산유곡푸르지오,2010,51000,2024,2,2,84.9906,24,유곡동,69,31110,중개거래,개인,개인
진영동부,1994,15000,2024,2,2,59.94,12,태화동,412-2,31110,중개거래,개인,법인
진흥 마제스타워 울산Ⅱ,2010,42500,2024,2,2,84.9513,30,우정동,172-5,31110,중개거래,개인,개인
대신스카이,2012,20200,2024,2,3,84.9478,4,성안동,796-1,31110,중개거래,개인,개인
복산아이파크,2017,47000,2024,2,3,84.88,9,복산동,776,31110,중개거래,개인,개인
삼성래미안,2001,34900,2024,2,3,59.9458,12,약사동,612-38,31110,중개거래,개인,개인
삼성래미안,2001,30500,2024,2,3,59.9458,1,약사동,612-38,31110,중개거래,개인,개인
약사아이파크,2015,39400,2024,2,3,59.71,2,약사동,1101,31110,중개거래,개인,개인
에일린의뜰2차아파트,2013,37500,2024,2,3,75.3281,7,장현동,191,31110,중개거래,개인,개인
우정혁신도시KCC스위첸,2015,40800,2024,2,3,84.98,3,서동,613,31110,중개거래,개인,개인
우정혁신도시푸르지오,2013,48500,2024,2,3,84.996,2,유곡동,260,31110,중개거래,개인,개인
캐슬타운하우스,2007,39000,2024,2,3,132.715,3,성안동,484-2,31110,중개거래,개인,개인
우정혁신호반베르디움,2014,58500,2024,2,4,97.9541,9,태화동,224,31110,중개거래,개인,개인
전원타운,1991,18000,2024,2,4,66.405,6,태화동,431-10,31110,중개거래,개인,개인
현대그랜드맨션,1993,14000,2024,2,4,63,5,반구동,290-3,31110,중개거래,개인,개인
동덕현대(104동),1991,15900,2024,2,5,67.435,14,복산동,319,31110,중개거래,개인,법인
복산아이파크,2017,47000,2024,2,5,84.88,4,복산동,776,31110,중개거래,개인,개인
신한그린맨션,1991,11400,2024,2,5,70.89,6,복산동,671,31110,중개거래,개인,개인
에일린의뜰1차,2013,46500,2024,2,5,84.9646,1,유곡동,264,31110,중개거래,개인,개인
우정2,1979,10700,2024,2,5,52.1,4,우정동,284-8,31110,중개거래,개인,개인
진흥 마제스타워 울산Ⅱ,2010,46000,2024,2,5,84.6854,8,우정동,172-5,31110,중개거래,개인,개인
태화강유보라팰라티움,2023,60000,2024,2,5,84.9385,37,우정동,810,31110,직거래,개인,개인
포인트힐,2004,22200,2024,2,5,112.18,2,성안동,490-6,31110,중개거래,개인,개인
골드클래스,2014,35500,2024,2,6,84.96,2,장현동,181,31110,중개거래,개인,개인
동남하이빌,2002,18400,2024,2,6,84.4308,3,성안동,386-13,31110,중개거래,개인,개인
삼성래미안2차3단지,2004,47500,2024,2,6,84.775,1,약사동,707,31110,중개거래,개인,개인
성안청구타운,1996,14100,2024,2,6,59.99,4,성안동,370-1,31110,중개거래,개인,개인
아이리스,2015,30000,2024,2,6,84.17,8,성안동,798-8,31110,중개거래,개인,개인
현대타워맨션,1990,18600,2024,2,6,74.82,6,반구동,285,31110,중개거래,개인,개인
남외푸르지오1차,2006,54000,2024,2,7,107.65,5,남외동,506-1,31110,중개거래,개인,개인
삼환크리스탈,1994,16800,2024,2,7,74.19,1,약사동,가-3-1,31110,중개거래,개인,개인
성안금호타운,1998,20000,2024,2,7,74.69,13,성안동,858-1,31110,중개거래,개인,개인
성안청구타운,1996,11700,2024,2,7,59.99,1,성안동,370-1,31110,중개거래,개인,개인
아드리아4차,2008,24300,2024,2,7,84.8572,10,성안동,856-1,31110,중개거래,개인,개인
약사아이파크,2015,43000,2024,2,7,59.71,7,약사동,1101,31110,중개거래,개인,개인
울산유곡푸르지오,2010,66000,2024,2,7,131.0796,1,유곡동,69,31110,중개거래,개인,개인
태화강엑소디움,2010,62000,2024,2,7,128.07,27,옥교동,82-1,31110,중개거래,개인,개인
평화보라타운,1983,15000,2024,2,7,59.25,2,남외동,38-2,31110,직거래,개인,개인
희재베스트빌,2003,14000,2024,2,7,80.7498,5,성안동,871-3,31110,중개거래,개인,개인
e편한세상강변,2015,53000,2024,2,8,84.9946,14,반구동,679,31110,중개거래,개인,개인
두강팔레스맨션,1996,13700,2024,2,8,62.76,5,서동,34-1,31110,중개거래,개인,개인
반구신동아파밀리에,2014,35200,2024,2,8,84.914,18,반구동,448-3,31110,중개거래,개인,개인
