단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
강화2차세광엔리치빌,2004,18800,2021,9,9,68.203,2,선원면 창리,619,28710,,,
세광엔리치빌1차,2001,20000,2021,9,13,84.9942,7,선원면 창리,663,28710,,,
세광엔리치빌1차,2001,19000,2021,9,16,84.9942,1,선원면 창리,663,28710,,,
유성2,1991,9500,2021,9,16,79.3,5,강화읍 갑곳리,430,28710,,,
그랑드빌,2001,22500,2021,9,19,114.86,2,강화읍 갑곳리,165-1,28710,,,
그랑프리타워,2015,8500,2021,9,24,30.84,7,강화읍 관청리,175-1,28710,,,
세광엔리치빌1차,2001,20000,2021,9,25,84.9942,12,선원면 창리,663,28710,,,
강화2차세광엔리치빌,2004,19500,2021,9,27,68.203,2,선원면 창리,619,28710,,,
건일온수,1991,7500,2021,9,27,56.16,3,길상면 온수리,455-6,28710,,,
유성1,1990,7500,2021,9,27,52.38,4,강화읍 갑곳리,423,28710,,,
유성1,1990,8300,2021,9,27,52.05,3,강화읍 갑곳리,423,28710,,,
강화2차세광엔리치빌,2004,19700,2021,9,30,68.203,6,선원면 창리,619,28710,,,
