단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
검단1차대주피오레,2007,23000,2020,2,1,84.9734,6,마전동,1029-2,28290,,,
검단2차풍림아이원,2005,22000,2020,2,1,84.8495,7,마전동,999-18,28290,,,
검단SKVIEW,2017,40000,2020,2,1,84.7875,17,당하동,1067-1,28290,,,
검단SKVIEW,2017,36500,2020,2,1,84.7875,3,당하동,1067-1,28290,,,
검단자이2단지,2010,25200,2020,2,1,84.743,4,왕길동,696-1,28290,,,
검단풍림아이원,2004,20500,2020,2,1,84.935,8,왕길동,649-1,28290,,,
검단힐스테이트2차,2010,40000,2020,2,1,140.395,12,마전동,997-1,28290,,,
검단힐스테이트5차,2013,33950,2020,2,1,84.9745,12,당하동,1075-9,28290,,,
당하푸르지오,2005,31700,2020,2,1,101.613,8,당하동,1099-2,28290,,,
당하푸르지오,2005,26000,2020,2,1,73.827,6,당하동,1099-2,28290,,,
대주파크빌,2006,24500,2020,2,1,84.8291,1,당하동,1098-1,28290,,,
드림파크어울림1단지,2010,23500,2020,2,1,84.9025,2,왕길동,697-1,28290,,,
삼보해피하임2단지(불로지구51BL1L),2007,27800,2020,2,1,114.1122,14,불로동,793-1,28290,,,
영남탑스빌,2000,28700,2020,2,1,119.94,17,마전동,999-5,28290,,,
영남탑스빌,2000,30100,2020,2,1,153.03,13,마전동,999-5,28290,,,
원당LG자이(원당지구69BL1L),2004,26900,2020,2,1,84.9511,6,원당동,823-1,28290,,,
이지미래지향,2008,20000,2020,2,1,84.6592,1,마전동,928-17,28290,,,
퀸스타운(동성),1999,21000,2020,2,1,84.99,3,불로동,316-1,28290,,,
퀸스타운(동성),1999,15500,2020,2,1,59.97,19,불로동,316-1,28290,,,
탑스빌(성웅),1998,24450,2020,2,1,84.94,8,당하동,895-1,28290,,,
탑스빌(신대진),1998,26300,2020,2,1,84.94,10,당하동,895-1,28290,,,
검단자이2단지,2010,23750,2020,2,2,84.743,1,왕길동,696-1,28290,,,
신명스카이뷰,2007,15600,2020,2,2,59.861,2,불로동,185-40,28290,,,
원당풍림아이원,2004,20000,2020,2,2,59.832,8,당하동,1031,28290,,,
검단SKVIEW,2017,32500,2020,2,3,74.9042,2,당하동,1067-1,28290,,,
검단힐스테이트,2007,26000,2020,2,3,84.2846,2,마전동,997-3,28290,,,
드림파크어울림1단지,2010,32800,2020,2,3,131.2683,3,왕길동,697-1,28290,,,
목화,1990,11000,2020,2,3,59.955,5,마전동,916,28290,,,
검단힐스테이트4차,2012,38500,2020,2,4,107.4423,9,당하동,1090-1,28290,,,
검단힐스테이트6차,2013,37000,2020,2,4,84.9908,6,당하동,1080-1,28290,,,
