단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
동남(55-1),1990,12000,2012,7,1,55.53,2,계산동,55-1,28245,,,
학마을영남,1997,7500,2012,7,1,26.01,4,병방동,432-5,28245,,,
학마을한진,1998,17100,2012,7,1,59.73,11,병방동,433-1,28245,,,
경남1,1987,11500,2012,7,2,49.935,2,효성동,623-27,28245,,,
까치마을태화,1997,9300,2012,7,2,37.38,14,작전동,915-1,28245,,,
뉴서울1,1985,9950,2012,7,2,48.96,4,효성동,99-11,28245,,,
두산,1997,15800,2012,7,2,59.93,10,효성동,33-2,28245,,,
무지개,1989,11500,2012,7,2,43.16,10,작전동,103-2,28245,,,
삼보,1994,14300,2012,7,2,59.88,11,작전동,64-1,28245,,,
삼우,1989,7900,2012,7,2,38.91,1,작전동,28-9,28245,,,
신동아,1997,15800,2012,7,2,59.95,6,오류동,180,28245,,,
태산,1997,18000,2012,7,2,84.765,7,효성동,123-57,28245,,,
학마을서해,1997,7000,2012,7,2,26.01,3,병방동,432-5,28245,,,
귤현현대아이파크,2004,24000,2012,7,3,84.9871,9,귤현동,489,28245,,,
까치마을한진,1997,10200,2012,7,3,37.38,10,작전동,915-1,28245,,,
인정프린스,1992,14800,2012,7,3,65.75,3,계산동,57-2,28245,,,
학마을서원,1997,10000,2012,7,3,34.44,7,병방동,432-3,28245,,,
한일,1991,13800,2012,7,3,65.52,4,작전동,855-2,28245,,,
한진해모로,2006,17350,2012,7,3,59.61,3,동양동,582,28245,,,
뉴서울6,1995,14250,2012,7,4,59.79,10,효성동,301-1,28245,,,
도두리마을대동,1997,9950,2012,7,4,40.05,13,작전동,912-5,28245,,,
도두리마을대동,1997,9950,2012,7,4,40.05,7,작전동,912-5,28245,,,
도두리마을동보,1996,6500,2012,7,4,23.85,6,작전동,912-3,28245,,,
신도브래뉴,2005,27800,2012,7,4,84.8798,15,계산동,941,28245,,,
신동아,1997,15600,2012,7,4,59.95,11,오류동,180,28245,,,
신한,1984,8750,2012,7,4,48.28,2,작전동,852-14,28245,,,
작전현대1차,1990,17000,2012,7,4,71.175,10,작전동,111,28245,,,
팬더(53),1989,10950,2012,7,4,57.57,2,작전동,53,28245,,,
학마을서원,1997,10000,2012,7,4,34.44,15,병방동,432-3,28245,,,
학마을서해,1997,16600,2012,7,4,59.79,16,병방동,432-5,28245,,,
학마을영남,1997,17800,2012,7,4,59.94,4,병방동,432-5,28245,,,
도두리마을동보,1996,15450,2012,7,5,59.88,1,작전동,912-3,28245,,,
성지,1993,15250,2012,7,5,84.56,1,효성동,220-3,28245,,,
하나,1987,9900,2012,7,5,39.96,2,계산동,348-2,28245,,,
뉴서울6,1995,14700,2012,7,6,59.79,9,효성동,301-1,28245,,,
신진,1987,9700,2012,7,6,43.36,3,작전동,140-2,28245,,,
태평,1990,12500,2012,7,6,57.03,2,계산동,49-4,28245,,,
뉴서울1,1988,8200,2012,7,7,39.24,9,작전동,102-3,28245,,,
뉴서울5차,1994,18800,2012,7,7,84.42,20,효성동,238-1,28245,,,
일신휴먼빌,2007,23000,2012,7,7,84.78,1,동양동,613,28245,,,
"한국(101동,102동)",1998,15300,2012,7,7,59.97,6,작전동,79,28245,,,
한양,1985,12500,2012,7,7,58.5,7,작전동,854-4,28245,,,
현광,1992,11500,2012,7,7,59.71,9,작전동,707-5,28245,,,
현대2-2차,1993,19500,2012,7,7,84.93,3,작전동,580,28245,,,
초정마을(쌍용),1997,29450,2012,7,8,96.15,13,용종동,213-2,28245,,,
풍림아이원,2003,24800,2012,7,8,84.9312,11,작전동,169,28245,,,
광명11,1989,10000,2012,7,9,61.29,3,작전동,131-1,28245,,,
일신휴먼빌,2007,24800,2012,7,9,84.78,13,동양동,613,28245,,,
현대1,1991,20300,2012,7,9,84.945,10,효성동,21-11,28245,,,
도두리마을동남,1997,16500,2012,7,10,59.52,13,작전동,912-4,28245,,,
삼보1,1987,9000,2012,7,10,40.59,4,계산동,342-1,28245,,,
초정마을(동아),1998,29000,2012,7,10,95.469,13,용종동,213-3,28245,,,
도두리마을동남,1997,10400,2012,7,11,40.32,7,작전동,912-4,28245,,,
신진,1987,9100,2012,7,11,40.66,2,작전동,140-2,28245,,,
용종마을중앙,1997,20000,2012,7,11,84.798,1,용종동,214-2,28245,,,
일신휴먼빌,2007,23200,2012,7,11,84.78,4,동양동,613,28245,,,
태산,1997,13500,2012,7,11,59.96,15,효성동,123-57,28245,,,
학마을영남,1997,17800,2012,7,11,59.94,9,병방동,432-5,28245,,,
현대,1992,27000,2012,7,11,129.73,6,계산동,62-1,28245,,,
극동,1985,11600,2012,7,12,38.13,3,계산동,899,28245,,,
뉴서울2,1986,6500,2012,7,12,31.95,2,효성동,24,28245,,,
학마을한진,1998,13200,2012,7,12,49.77,2,병방동,433-1,28245,,,
한양,1985,13000,2012,7,12,58.5,9,작전동,854-4,28245,,,
현대,1992,22000,2012,7,12,84.945,15,계산동,62-1,28245,,,
현대,1992,21500,2012,7,12,84.945,9,계산동,62-1,28245,,,
현대,1992,21700,2012,7,12,84.945,9,계산동,62-1,28245,,,
현대4,1995,24400,2012,7,12,84.6,20,효성동,200-1,28245,,,
까치마을한진,1997,16800,2012,7,13,59.91,7,작전동,915-1,28245,,,
동보,1995,15700,2012,7,13,60,16,작전동,388-2,28245,,,
영동,1986,7500,2012,7,13,41.16,3,계산동,931-16,28245,,,
우암센스뷰,2003,16000,2012,7,13,59.1899,13,작전동,857-5,28245,,,
학마을서원,1997,17200,2012,7,13,59.94,1,병방동,432-3,28245,,,
한양,1985,12900,2012,7,13,58.5,5,작전동,854-4,28245,,,
한화,1998,13000,2012,7,13,59.34,1,작전동,858,28245,,,
현대3,1992,16350,2012,7,13,71.457,12,효성동,280-5,28245,,,
현대4,1995,12700,2012,7,13,59.4,25,효성동,200-1,28245,,,
까치마을한진,1997,9000,2012,7,14,37.38,1,작전동,915-1,28245,,,
도두리마을대동,1997,11600,2012,7,14,40.05,9,작전동,912-5,28245,,,
삼천리,1988,12000,2012,7,14,44.677,1,작전동,34-5,28245,,,
새사미,1985,10250,2012,7,14,48.93,3,효성동,623-16,28245,,,
서해3,1991,13150,2012,7,14,59.97,5,계산동,954-30,28245,,,
은행마을(태산),1997,25200,2012,7,14,100.59,8,계산동,1084-3,28245,,,
주공,1990,13000,2012,7,14,49.94,15,계산동,20,28245,,,
하나,1996,18200,2012,7,14,84.87,4,효성동,623-3,28245,,,
학마을한진,1998,14000,2012,7,14,49.77,5,병방동,433-1,28245,,,
한화꿈에그린,2005,25800,2012,7,14,84.97,10,박촌동,310,28245,,,
학마을서해,1997,17500,2012,7,15,59.79,7,병방동,432-5,28245,,,
백영,1996,13000,2012,7,16,60,3,효성동,101-5,28245,,,
삼보,1994,16000,2012,7,16,84.81,10,작전동,64-1,28245,,,
삼보3,1988,13800,2012,7,16,57.96,4,계산동,12-4,28245,,,
서해3,1991,12400,2012,7,16,58.33,4,계산동,954-30,28245,,,
은행마을(삼보),1997,26700,2012,7,16,90.18,10,계산동,1084-2,28245,,,
하나,1987,8400,2012,7,16,39.96,6,계산동,348-2,28245,,,
한아름,1991,9600,2012,7,16,59.76,4,작전동,72-2,28245,,,
현대,1992,20700,2012,7,16,84.945,4,계산동,62-1,28245,,,
극동,1985,13300,2012,7,17,52.45,4,계산동,899,28245,,,
도두리마을대동,1997,16000,2012,7,17,59.84,4,작전동,912-5,28245,,,
중앙하이츠,1996,14500,2012,7,17,59.98,8,효성동,24-3,28245,,,
학마을영남,1997,17700,2012,7,17,59.94,11,병방동,432-5,28245,,,
금호어울림,2005,16000,2012,7,18,59.96,6,효성동,675,28245,,,
도두리마을대동,1997,10000,2012,7,18,40.05,8,작전동,912-5,28245,,,
도두리마을동남,1997,15000,2012,7,18,59.52,1,작전동,912-4,28245,,,
도두리마을롯데,1997,10500,2012,7,18,40.32,12,작전동,912-4,28245,,,
미도아파트,1990,13000,2012,7,18,59.93,1,작전동,420,28245,,,
한화꿈에그린,2005,24300,2012,7,18,84.97,8,박촌동,310,28245,,,
금광포란재,2007,23500,2012,7,19,83.9,7,임학동,67-5,28245,,,
뉴서울3차,1993,18000,2012,7,19,84.69,10,효성동,207-1,28245,,,
도두리마을대동,1997,17700,2012,7,19,59.84,19,작전동,912-5,28245,,,
신동아,1997,29500,2012,7,19,114.95,10,오류동,180,28245,,,
작전현대1차,1990,21430,2012,7,19,84.945,13,작전동,111,28245,,,
현대2-1차,1991,17400,2012,7,19,78.04,3,작전동,580,28245,,,
도두리마을동남,1997,17000,2012,7,20,59.52,15,작전동,912-4,28245,,,
학마을서원,1997,10400,2012,7,20,34.44,15,병방동,432-3,28245,,,
학마을서원,1997,9500,2012,7,20,34.44,4,병방동,432-3,28245,,,
학마을서해,1997,7450,2012,7,20,26.01,6,병방동,432-5,28245,,,
현대1,1991,19500,2012,7,20,84.945,20,효성동,21-11,28245,,,
새사미,1985,10500,2012,7,21,57.84,5,효성동,623-16,28245,,,
현대,1992,21500,2012,7,21,84.945,9,계산동,62-1,28245,,,
기산,1996,14000,2012,7,22,59.67,2,계산동,949-4,28245,,,
삼환1,1989,16500,2012,7,23,65.88,4,계산동,930,28245,,,
영무예다음,2007,16300,2012,7,23,59.97,9,병방동,90-1,28245,,,
초정마을(동아),1998,27100,2012,7,23,95.469,20,용종동,213-3,28245,,,
하나,1996,14300,2012,7,23,59.79,6,효성동,623-3,28245,,,
학마을서원,1997,17700,2012,7,23,59.94,7,병방동,432-3,28245,,,
학마을서해,1997,17500,2012,7,23,59.79,14,병방동,432-5,28245,,,
현대,1992,22350,2012,7,23,84.945,5,계산동,62-1,28245,,,
계양1차하우스토리,2009,18420,2012,7,24,84.996,2,박촌동,311,28245,,,
계양1차하우스토리,2009,18780,2012,7,24,84.996,4,박촌동,311,28245,,,
계양1차하우스토리,2009,18960,2012,7,24,84.996,7,박촌동,311,28245,,,
계양1차하우스토리,2009,18960,2012,7,24,84.996,8,박촌동,311,28245,,,
계양1차하우스토리,2009,19200,2012,7,24,84.996,9,박촌동,311,28245,,,
계양1차하우스토리,2009,19200,2012,7,24,84.996,11,박촌동,311,28245,,,
계양1차하우스토리,2009,19200,2012,7,24,84.996,12,박촌동,311,28245,,,
계양1차하우스토리,2009,19200,2012,7,24,84.996,13,박촌동,311,28245,,,
계양1차하우스토리,2009,19200,2012,7,24,84.996,15,박촌동,311,28245,,,
계양1차하우스토리,2009,18840,2012,7,24,84.996,2,박촌동,311,28245,,,
계양1차하우스토리,2009,19380,2012,7,24,84.996,5,박촌동,311,28245,,,
계양1차하우스토리,2009,19380,2012,7,24,84.996,12,박촌동,311,28245,,,
계양1차하우스토리,2009,18420,2012,7,24,84.996,2,박촌동,311,28245,,,
계양1차하우스토리,2009,18420,2012,7,24,84.996,2,박촌동,311,28245,,,
계양1차하우스토리,2009,18960,2012,7,24,84.996,8,박촌동,311,28245,,,
계양1차하우스토리,2009,19200,2012,7,24,84.996,14,박촌동,311,28245,,,
계양1차하우스토리,2009,19200,2012,7,24,84.996,14,박촌동,311,28245,,,
계양1차하우스토리,2009,19200,2012,7,24,84.996,15,박촌동,311,28245,,,
계양1차하우스토리,2009,18540,2012,7,24,84.966,1,박촌동,311,28245,,,
계양1차하우스토리,2009,18780,2012,7,24,84.966,2,박촌동,311,28245,,,
계양1차하우스토리,2009,19320,2012,7,24,84.966,11,박촌동,311,28245,,,
계양1차하우스토리,2009,19440,2012,7,24,84.966,5,박촌동,311,28245,,,
계양1차하우스토리,2009,19440,2012,7,24,84.966,9,박촌동,311,28245,,,
계양1차하우스토리,2009,19440,2012,7,24,84.966,12,박촌동,311,28245,,,
계양1차하우스토리,2009,19440,2012,7,24,84.966,14,박촌동,311,28245,,,
계양1차하우스토리,2009,19440,2012,7,24,84.966,15,박촌동,311,28245,,,
계양1차하우스토리,2009,19440,2012,7,24,84.966,15,박촌동,311,28245,,,
계양1차하우스토리,2009,19440,2012,7,24,84.966,15,박촌동,311,28245,,,
계양1차하우스토리,2009,19440,2012,7,24,84.966,15,박촌동,311,28245,,,
계양1차하우스토리,2009,24120,2012,7,24,101.423,1,박촌동,311,28245,,,
계양1차하우스토리,2009,24540,2012,7,24,101.423,2,박촌동,311,28245,,,
계양1차하우스토리,2009,25500,2012,7,24,101.423,6,박촌동,311,28245,,,
계양1차하우스토리,2009,25500,2012,7,24,101.423,9,박촌동,311,28245,,,
계양1차하우스토리,2009,25500,2012,7,24,101.423,11,박촌동,311,28245,,,
계양1차하우스토리,2009,25500,2012,7,24,101.423,12,박촌동,311,28245,,,
계양1차하우스토리,2009,25500,2012,7,24,101.423,12,박촌동,311,28245,,,
