단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
삼환1단지,1989,13800,2008,1,1,59.05,2,만수동,983-1,28200,,,
삼환1단지,1989,13800,2008,1,1,59.05,2,만수동,983-1,28200,,,
풍림,2000,16800,2008,1,1,59.7,19,논현동,577,28200,,,
간석신동아파밀리에명품,2007,21700,2008,1,2,84.4511,19,간석동,616-7,28200,,,
간석신동아파밀리에명품,2007,22000,2008,1,2,84.4511,13,간석동,616-7,28200,,,
간석신동아파밀리에명품,2007,16600,2008,1,2,59.9427,4,간석동,616-7,28200,,,
구월힐스테이트3단지,2007,25000,2008,1,2,83.9829,20,구월동,20,28200,,,
다정한마을서해그랑블,2004,21000,2008,1,2,84.83,13,간석동,407,28200,,,
담방마을,1994,12750,2008,1,2,49.72,12,만수동,1049,28200,,,
롯데캐슬골드,2007,23350,2008,1,2,83.8726,1,구월동,24,28200,,,
만수뉴서울아파트,1992,8200,2008,1,2,34.65,6,만수동,1044,28200,,,
만수뉴서울아파트,1992,6000,2008,1,2,34.65,14,만수동,1044,28200,,,
벽산,2000,23500,2008,1,2,84.93,20,만수동,1114,28200,,,
벽산,2000,12700,2008,1,2,59.805,15,만수동,1114,28200,,,
벽산,2000,20400,2008,1,2,84.93,20,만수동,1114,28200,,,
신세계,1980,15900,2008,1,2,88.68,7,구월동,342-1,28200,,,
아주(5-320),1986,7800,2008,1,2,41.82,1,만수동,5-320,28200,,,
어울림마을,2005,34000,2008,1,2,84.96,21,간석동,938-1,28200,,,
우성,1990,17000,2008,1,2,72.94,8,간석동,893-1,28200,,,
주공11단지,1997,20300,2008,1,2,84.9,2,만수동,1113,28200,,,
풍림아이원,2004,24800,2008,1,2,84.956,9,간석동,935,28200,,,
구월힐스테이트1단지,2007,26200,2008,1,3,83.8726,11,구월동,23,28200,,,
구월힐스테이트1단지,2007,24750,2008,1,3,83.8726,9,구월동,23,28200,,,
구월힐스테이트1단지,2007,26500,2008,1,3,83.9829,22,구월동,23,28200,,,
논현신일해피트리,2007,33000,2008,1,3,101.872,8,논현동,618-1,28200,,,
담방마을,1994,9700,2008,1,3,45.76,3,만수동,1049,28200,,,
롯데캐슬골드,2007,25500,2008,1,3,83.7769,20,구월동,24,28200,,,
만수주공6단지,1986,12060,2008,1,3,38.52,4,만수동,20,28200,,,
삼환2단지,1990,16200,2008,1,3,68.38,15,만수동,966,28200,,,
성신(5-373외),1985,9300,2008,1,3,49.2,1,만수동,5-6,28200,,,
신한,1988,7800,2008,1,3,40.95,2,만수동,2-21,28200,,,
주공8단지,1989,8400,2008,1,3,44.94,14,만수동,1005,28200,,,
간석신동아파밀리에명품,2007,23350,2008,1,4,84.4571,21,간석동,616-7,28200,,,
구월힐스테이트1단지,2007,21100,2008,1,4,59.9,9,구월동,23,28200,,,
담방마을,1994,9300,2008,1,4,46.12,11,만수동,1049,28200,,,
롯데캐슬골드,2007,37000,2008,1,4,115.6671,19,구월동,24,28200,,,
롯데캐슬골드,2007,24200,2008,1,4,83.8726,4,구월동,24,28200,,,
