단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
알바트로스,2012,9400,2022,1,1,17.815,5,주안동,81-15,28177,직거래,,
라이프타워,2016,18500,2022,1,3,69.46,6,도화동,638-3,28177,중개거래,,
봉림쑥골마을(534-24),2002,9500,2022,1,3,56.325,2,도화동,534-24,28177,직거래,,
삼환1(관교삼환나우빌),1992,45000,2022,1,3,156.27,2,관교동,13-6,28177,직거래,,
알바트로스,2012,7350,2022,1,3,17.815,7,주안동,81-15,28177,직거래,,
용현엘크루윈드포레,2018,54000,2022,1,3,84.73,13,용현동,689,28177,중개거래,,
인천학익두산위브,2011,13200,2022,1,3,23.92,3,학익동,739,28177,직거래,,
청도스카이뷰,2004,16500,2022,1,3,59.97,5,주안동,980-6,28177,중개거래,,
알바트로스,2012,10000,2022,1,4,17.815,5,주안동,81-15,28177,직거래,,
인천 SK Sky VIEW,2016,57900,2022,1,4,59.9934,5,용현동,664,28177,중개거래,,
미도,1984,18500,2022,1,5,66.09,5,주안동,18-2,28177,중개거래,,
백영쑥골마을(534-28),2002,9500,2022,1,5,53.495,4,도화동,534-28,28177,중개거래,,
주안지웰에스테이트,2019,38000,2022,1,5,59.7196,28,주안동,77-3,28177,중개거래,,
대동2,1988,14000,2022,1,6,43.95,3,학익동,683-2,28177,중개거래,,
광명8,1988,19700,2022,1,7,48.6,2,주안동,1487-7,28177,중개거래,,
광해리드빌,2003,27300,2022,1,7,84.962,4,숭의동,159-1,28177,중개거래,,
남광로얄,1980,20000,2022,1,7,46.84,1,주안동,1443,28177,중개거래,,
대경이즈뷰,2008,26000,2022,1,7,84.64,6,도화동,461-2,28177,중개거래,,
베스티움,2012,7000,2022,1,7,13.415,14,주안동,25-34,28177,직거래,,
베스티움,2012,7000,2022,1,7,13.415,15,주안동,25-34,28177,직거래,,
용현2단지금호타운,1999,39500,2022,1,7,71.25,20,용현동,647,28177,중개거래,,
인천용현엑슬루타워,2011,52000,2022,1,7,110.5065,20,용현동,659,28177,중개거래,,
태화,1984,17000,2022,1,7,64.855,5,도화동,105-1,28177,중개거래,,
대동(919-0),1983,9200,2022,1,8,50.88,2,도화동,919,28177,중개거래,,
대준블루온102동,2016,16000,2022,1,8,48.32,15,숭의동,342-30,28177,중개거래,,
인천 SK Sky VIEW,2016,83000,2022,1,8,95.4904,13,용현동,664,28177,중개거래,,
한국공영,1980,12500,2022,1,8,46.45,5,학익동,38,28177,중개거래,,
버드나무(윌로우),2005,17200,2022,1,9,77.28,4,도화동,545-2,28177,중개거래,,
금양아파트,1998,17000,2022,1,10,59.955,12,주안동,1298,28177,중개거래,,
동원,1987,17900,2022,1,10,47.07,3,도화동,557-1,28177,중개거래,,
선정,2001,31000,2022,1,10,84.0244,6,주안동,22-33,28177,중개거래,,
베스티움,2012,5000,2022,1,11,13.267,13,주안동,25-34,28177,중개거래,,
다복아파트,1976,13000,2022,1,12,68.29,5,숭의동,129-83,28177,중개거래,,
더플러스타워,2021,45100,2022,1,12,63.82,16,주안동,113-1,28177,직거래,,
백영쑥골마을(534-15),2002,8500,2022,1,12,44.27,2,도화동,534-15,28177,중개거래,,
