단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
동암신동아,2000,18000,2010,8,1,59.8,7,십정동,607,28237,,,
한신휴,2003,23900,2010,8,1,84.979,2,산곡동,222,28237,,,
부개주공7단지,1998,17400,2010,8,2,59.8,3,부개동,502-8,28237,,,
부평자이,2006,22800,2010,8,2,59.9602,6,구산동,360,28237,,,
삼산주공미래타운1차,2000,17000,2010,8,2,59.39,1,삼산동,387-2,28237,,,
삼산타운2단지,2005,34000,2010,8,2,84.98,18,삼산동,445-5,28237,,,
삼산타운주공1단지,2005,11497,2010,8,2,59.99,9,삼산동,440-1,28237,,,
십정뜨란채1단지,2005,19300,2010,8,2,59.93,23,십정동,608-4,28237,,,
경남5차,1992,20000,2010,8,3,84.97,15,산곡동,261-8,28237,,,
동아(1차),1986,23900,2010,8,3,76.74,8,부평동,70-5,28237,,,
동아(1차),1986,16200,2010,8,3,52.43,14,부평동,70-5,28237,,,
동아(2차),1995,48250,2010,8,3,134.85,6,부평동,70-123,28237,,,
부개역푸르지오,2010,66840,2010,8,3,130.843,4,부개동,512,28237,,,
성지위너스타운104동(409-32),2002,6800,2010,8,3,31.72,4,부평동,409-32,28237,,,
우성1차2차(294-35),1989,11300,2010,8,3,41.02,10,산곡동,294-35,28237,,,
우성5차,1996,10900,2010,8,3,41.13,17,산곡동,251-2,28237,,,
동아(2차),1995,18700,2010,8,4,59.82,16,부평동,70-123,28237,,,
삼산타운2단지,2005,31500,2010,8,4,84.98,1,삼산동,445-5,28237,,,
신성미소지움3단지,2005,38700,2010,8,4,101.15,6,삼산동,448-1,28237,,,
일신주공아파트(100~112동),1995,11000,2010,8,4,39.99,9,일신동,410,28237,,,
하나,1992,24300,2010,8,4,84.75,14,갈산동,362,28237,,,
한화1단지,1997,18000,2010,8,4,59.88,16,산곡동,124-23,28237,,,
현대2차,1987,25000,2010,8,4,84.96,9,산곡동,311-126,28237,,,
금호이수마운트밸리,2007,30000,2010,8,5,84.9588,12,산곡동,507,28237,,,
뉴서울아파트,1989,16500,2010,8,5,74.41,13,산곡동,255-1,28237,,,
백조(마),1983,11500,2010,8,5,50.94,3,부개동,16-82,28237,,,
부평1차 금호타운,1998,32000,2010,8,5,84.85,17,청천동,200,28237,,,
삼산타운7단지,2004,36500,2010,8,5,84.96,13,삼산동,453-1,28237,,,
삼산타운주공1단지,2005,18000,2010,8,5,51.86,8,삼산동,440-1,28237,,,
삼산타운주공1단지,2005,15544,2010,8,5,59.99,5,삼산동,440-1,28237,,,
삼산타운주공1단지,2005,10126,2010,8,5,51.86,17,삼산동,440-1,28237,,,
신성미소지움3단지,2005,39900,2010,8,5,101.48,12,삼산동,448-1,28237,,,
신성미소지움3단지,2005,63000,2010,8,5,151.76,22,삼산동,448-1,28237,,,
쌍용,1990,26000,2010,8,5,84.87,7,청천동,259,28237,,,
청천푸르지오,1998,18350,2010,8,5,59.36,17,청천동,176,28237,,,
현광,1994,11430,2010,8,5,53.31,1,청천동,300-1,28237,,,
화산샬렛주상아파트,2007,18250,2010,8,5,74.31,3,부평동,685,28237,,,
동남,1989,12500,2010,8,6,59.7,3,삼산동,206-2,28237,,,
동암신동아,2000,29500,2010,8,6,130.8,6,십정동,607,28237,,,
부개주공3,1996,19500,2010,8,6,59.98,11,부개동,498-5,28237,,,
부평자이,2006,22700,2010,8,6,59.9602,11,구산동,360,28237,,,
삼산주공미래타운4차,2000,17400,2010,8,6,59.39,2,삼산동,389-8,28237,,,
신성미소지움3단지,2005,40000,2010,8,6,101.48,14,삼산동,448-1,28237,,,
쌍용,1990,21150,2010,8,6,72.31,9,청천동,259,28237,,,
"푸른마을한신,삼부",1999,36300,2010,8,6,99.86,16,부개동,499-2,28237,,,
한신휴,2003,20200,2010,8,6,59.946,21,산곡동,222,28237,,,
현대1차,1985,20000,2010,8,6,84.81,11,산곡동,307,28237,,,
동아(1차),1986,16500,2010,8,7,52.43,3,부평동,70-5,28237,,,
부개주공6,1997,28650,2010,8,7,84.79,11,부개동,501-1,28237,,,
삼보,1985,13200,2010,8,7,60.54,3,산곡동,180-116,28237,,,
삼산주공미래타운3차,2000,17900,2010,8,7,59.39,5,삼산동,390-6,28237,,,
삼산주공미래타운5차,2000,26200,2010,8,7,84.34,4,삼산동,393-4,28237,,,
광명,1995,13000,2010,8,8,59.975,17,청천동,399-6,28237,,,
두산위브,2005,17700,2010,8,8,59.76,1,부평동,534-96,28237,,,
우성1차2차(294-35),1989,11500,2010,8,8,41.02,8,산곡동,294-35,28237,,,
대동,1988,18400,2010,8,9,48.48,2,부개동,477-1,28237,,,
동아(1차),1986,22100,2010,8,9,76.74,1,부평동,70-5,28237,,,
동아(2차),1995,28000,2010,8,9,84.72,15,부평동,70-123,28237,,,
미가로,2006,21000,2010,8,9,59.9886,13,청천동,199-24,28237,,,
미도7,1989,13600,2010,8,9,59.91,6,청천동,259-5,28237,,,
백조(마),1983,11000,2010,8,9,50.94,5,부개동,16-82,28237,,,
부평자이,2006,27000,2010,8,9,84.7461,6,구산동,360,28237,,,
삼산주공미래타운3차,2000,18400,2010,8,9,59.41,20,삼산동,390-6,28237,,,
삼산타운주공1단지,2005,18500,2010,8,9,59.99,14,삼산동,440-1,28237,,,
삼산타운주공1단지,2005,12067,2010,8,9,59.99,10,삼산동,440-1,28237,,,
십정뜨란채1단지,2005,22500,2010,8,9,84.46,1,십정동,608-4,28237,,,
창보,1999,21500,2010,8,9,84.98,11,부평동,70-78,28237,,,
한양(155-1),1992,20000,2010,8,9,84.665,12,산곡동,155-1,28237,,,
한화1단지,1997,18600,2010,8,9,59.88,9,산곡동,124-23,28237,,,
뉴서울(264-1),1991,16900,2010,8,10,74.33,9,산곡동,264-1,28237,,,
대동,1988,16000,2010,8,10,43.295,2,부개동,477-1,28237,,,
동원(82-116),1990,7000,2010,8,10,43.47,4,산곡동,82-116,28237,,,
부개주공3,1996,19500,2010,8,10,59.98,4,부개동,498-5,28237,,,
삼산주공미래타운2차,2000,12000,2010,8,10,49.4,8,삼산동,388-7,28237,,,
삼산타운주공1단지,2005,17100,2010,8,10,59.99,16,삼산동,440-1,28237,,,
삼산타운주공1단지,2005,10667,2010,8,10,51.86,6,삼산동,440-1,28237,,,
삼산타운주공1단지,2005,18000,2010,8,10,51.86,10,삼산동,440-1,28237,,,
십정뜨란채1단지,2005,25400,2010,8,10,84.6,5,십정동,608-4,28237,,,
주공1단지,1992,9950,2010,8,10,38.64,3,갈산동,359,28237,,,
주공1단지,1992,10220,2010,8,10,41.3,1,갈산동,359,28237,,,
한화2단지,1999,18000,2010,8,10,59.88,3,산곡동,124-23,28237,,,
경남4차,1994,21000,2010,8,11,84.87,11,산곡동,274-5,28237,,,
동아(1차),1986,28300,2010,8,11,84.87,6,부평동,70-5,28237,,,
삼산주공미래타운3차,2000,18600,2010,8,11,59.41,20,삼산동,390-6,28237,,,
삼산타운2단지,2005,32000,2010,8,11,84.98,16,삼산동,445-5,28237,,,
삼산타운7단지,2004,35200,2010,8,11,84.07,10,삼산동,453-1,28237,,,
삼산타운7단지,2004,31000,2010,8,11,84.96,17,삼산동,453-1,28237,,,
삼산타운주공1단지,2005,14721,2010,8,11,51.86,3,삼산동,440-1,28237,,,
