단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
검암4차신명스카이뷰,2004,21800,2013,10,1,84.5888,10,검암동,535-2,28275,,,
극동늘푸른,1997,16200,2013,10,1,59.795,6,심곡동,259-2,28275,,,
남양102동,2006,16000,2013,10,1,62.0325,5,석남동,463,28275,,,
덕산,1982,7500,2013,10,1,41.82,5,가좌동,158-12,28275,,,
서해그랑블,2003,22800,2013,10,1,69.6616,16,검암동,595-3,28275,,,
서해그랑블,2010,24500,2013,10,1,59.9974,4,청라동,165-10,28275,,,
신명스카이뷰3차,2004,22000,2013,10,1,84.966,1,검암동,605-1,28275,,,
진주2,1984,14000,2013,10,1,58.98,2,가좌동,30-2,28275,,,
진흥,1986,7600,2013,10,1,43.56,2,가좌동,210-6,28275,,,
청라반도유보라2.0,2012,44425,2013,10,1,121.7338,29,청라동,102-16,28275,,,
청라엘에이치,2011,28000,2013,10,1,84.86,4,청라동,184-1,28275,,,
청라한양수자인,2011,48142,2013,10,1,121.4449,7,청라동,102-2,28275,,,
청라한양수자인,2011,39383,2013,10,1,102.5591,4,청라동,102-2,28275,,,
청라한양수자인,2011,39383,2013,10,1,102.5591,4,청라동,102-2,28275,,,
청라한양수자인,2011,55125,2013,10,1,142.9247,15,청라동,102-2,28275,,,
청라힐스테이트,2012,34215,2013,10,1,84.982,3,청라동,103-27,28275,,,
태평샹베르1차,2005,18400,2013,10,1,84.5496,5,경서동,722-1,28275,,,
하나2,1992,9000,2013,10,1,57.78,5,가정동,341-14,28275,,,
힐데스하임,2011,26500,2013,10,1,59.9435,20,청라동,185-1,28275,,,
가이아샹베르2차,2005,18500,2013,10,2,84.5496,13,경서동,727-1,28275,,,
삼성,1997,21000,2013,10,2,84.886,10,심곡동,330-1,28275,,,
서해그랑블,2010,24900,2013,10,2,59.9744,5,청라동,165-10,28275,,,
신광(206),1997,10000,2013,10,2,59.91,8,석남동,206,28275,,,
신동아,1996,12900,2013,10,2,59.98,9,석남동,486-1,28275,,,
신명스카이뷰2,2003,21000,2013,10,2,84.966,16,검암동,535-1,28275,,,
진주4,1991,21900,2013,10,2,136.23,3,가좌동,30-100,28275,,,
청라29블럭호반베르디움,2012,35000,2013,10,2,84.9289,15,청라동,173-1,28275,,,
청라동양엔파트,2012,46493,2013,10,2,118.3573,12,청라동,102-3,28275,,,
청라동양엔파트,2012,46337,2013,10,2,118.8376,24,청라동,102-3,28275,,,
청라동양엔파트,2012,46493,2013,10,2,118.3573,30,청라동,102-3,28275,,,
청라동양엔파트,2012,46446,2013,10,2,118.8538,8,청라동,102-3,28275,,,
청라동양엔파트,2012,46493,2013,10,2,118.3573,28,청라동,102-3,28275,,,
청라제일풍경채,2012,51740,2013,10,2,115.9895,18,청라동,115-1,28275,,,
청라한양수자인,2011,48142,2013,10,2,121.4449,14,청라동,102-2,28275,,,
청라한양수자인,2011,55125,2013,10,2,142.9247,14,청라동,102-2,28275,,,
청라한양수자인,2011,45759,2013,10,2,120.207,5,청라동,102-2,28275,,,
청라한양수자인,2011,47213,2013,10,2,120.207,14,청라동,102-2,28275,,,
청라한양수자인,2011,43506,2013,10,2,121.4449,1,청라동,102-2,28275,,,
한국,1992,16000,2013,10,2,84.06,7,가정동,567,28275,,,
한국3,1997,12600,2013,10,2,59.955,6,연희동,682-14,28275,,,
힐데스하임,2011,25300,2013,10,2,59.9435,15,청라동,185-1,28275,,,
힐데스하임,2011,25300,2013,10,2,59.9435,16,청라동,185-1,28275,,,
경남,1998,17900,2013,10,3,84.89,4,공촌동,314,28275,,,
금호어울림,2007,24000,2013,10,3,84.8003,7,석남동,532,28275,,,
루원e-편한세상하늘채아파트,2010,26700,2013,10,3,84.857,31,신현동,302-1,28275,,,
루원e-편한세상하늘채아파트,2010,23200,2013,10,3,59.999,12,신현동,302-1,28275,,,
루원e-편한세상하늘채아파트,2010,29000,2013,10,3,84.928,14,신현동,302-1,28275,,,
루원e-편한세상하늘채아파트,2010,27100,2013,10,3,84.857,25,신현동,302-1,28275,,,
루원e-편한세상하늘채아파트,2010,25900,2013,10,3,84.857,15,신현동,302-1,28275,,,
삼보해피하임3,2003,19000,2013,10,3,71.6238,2,검암동,512-1,28275,,,
서해그랑블,2010,25000,2013,10,3,59.9744,14,청라동,165-10,28275,,,
석남동경남아너스빌,2006,20450,2013,10,3,84.88,7,석남동,593,28275,,,
신명스카이뷰1,2003,20000,2013,10,3,84.966,1,검암동,629-1,28275,,,
아주,1984,11100,2013,10,3,65.18,4,가좌동,171-3,28275,,,
주공2,1983,11000,2013,10,3,48.62,4,가좌동,308,28275,,,
진주3,1989,12700,2013,10,3,49.5,11,가좌동,30-86,28275,,,
청라동양엔파트,2012,46373,2013,10,3,118.8352,25,청라동,102-3,28275,,,
청라동양엔파트,2012,46446,2013,10,3,118.8538,8,청라동,102-3,28275,,,
청라동양엔파트,2012,46373,2013,10,3,118.8352,30,청라동,102-3,28275,,,
