단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
롯데캐슬캠퍼스타운,2016,90000,2024,12,1,101.3056,48,송도동,149,28185,중개거래,개인,개인
아주1,1997,42000,2024,12,1,118.5,4,옥련동,640-1,28185,중개거래,개인,개인
더샵그린스퀘어,2014,102000,2024,12,2,125.9313,26,송도동,192-1,28185,중개거래,개인,법인
더샵그린워크2차,2014,102500,2024,12,2,117.8951,19,송도동,17-3,28185,중개거래,개인,개인
더샵그린워크2차,2014,80000,2024,12,2,84.3408,10,송도동,17-3,28185,중개거래,개인,개인
더퍼스트시티송도,2022,32500,2024,12,2,43.6843,9,송도동,21-28,28185,중개거래,개인,개인
송도더샵센트럴시티,2018,65500,2024,12,2,59.97,33,송도동,190-4,28185,중개거래,개인,개인
송도더샵센트럴시티,2018,84000,2024,12,2,84.97,19,송도동,190-4,28185,중개거래,개인,개인
송도오션파크베르디움,2020,64000,2024,12,2,84.795,29,송도동,310-1,28185,중개거래,개인,개인
영남,1992,27000,2024,12,2,84.8,1,연수동,577,28185,직거래,개인,개인
유천,1993,28500,2024,12,2,84.87,1,연수동,534,28185,중개거래,개인,개인
주공3,1993,16900,2024,12,2,44.66,6,연수동,578-2,28185,중개거래,개인,개인
현대,1993,36500,2024,12,2,96.23,5,동춘동,924,28185,중개거래,개인,개인
베르디움더퍼스트,2017,60900,2024,12,3,63.9487,16,송도동,192-8,28185,중개거래,개인,개인
솔밭마을아파트,1993,20700,2024,12,3,49.56,12,연수동,582-2,28185,중개거래,개인,개인
송도웰카운티1단지,2008,89000,2024,12,3,134.99,4,송도동,9-31,28185,중개거래,개인,개인
시대,1994,21800,2024,12,3,49.585,2,청학동,451,28185,중개거래,개인,개인
연수서해그랑블1단지,2017,44000,2024,12,3,70.77,11,동춘동,1131-1,28185,중개거래,개인,개인
e편한세상송도,2018,54000,2024,12,4,70.3826,21,송도동,319-1,28185,중개거래,개인,개인
대동,1993,28000,2024,12,4,52.14,12,연수동,633,28185,중개거래,개인,개인
베르디움더퍼스트,2017,60750,2024,12,4,63.9487,20,송도동,192-8,28185,중개거래,개인,개인
베르디움더퍼스트,2017,59990,2024,12,4,63.9487,23,송도동,192-8,28185,중개거래,개인,개인
송도더샵그린애비뉴7단지,2012,85500,2024,12,4,84.992,6,송도동,16-8,28185,중개거래,개인,개인
송도더샵센트럴시티,2018,63500,2024,12,4,59.97,8,송도동,190-4,28185,중개거래,개인,개인
송도오션파크베르디움,2020,57800,2024,12,4,75.9833,5,송도동,310-1,28185,중개거래,개인,개인
시대,1994,24000,2024,12,4,49.585,11,청학동,451,28185,중개거래,개인,개인
인천송도힐스테이트5단지,2011,106000,2024,12,4,170.055,13,송도동,21-64,28185,중개거래,개인,개인
랜드마크시티센트럴더샵,2020,66000,2024,12,5,84.9999,9,송도동,311,28185,중개거래,개인,개인
무지개마을,1995,42000,2024,12,5,84.965,4,동춘동,931,28185,중개거래,개인,개인
베르디움더퍼스트,2017,73000,2024,12,5,84.9572,24,송도동,192-8,28185,중개거래,개인,개인
송도더샵센트럴시티,2018,63900,2024,12,5,59.99,37,송도동,190-4,28185,중개거래,개인,개인
송도파크레인동일하이빌,2019,35500,2024,12,5,84.9948,25,동춘동,가-,28185,직거래,개인,개인
한양2,1994,40000,2024,12,5,84.97,1,동춘동,932,28185,중개거래,개인,개인
더샵송도마리나베이,2020,123000,2024,12,6,124.9886,6,송도동,308-1,28185,중개거래,개인,개인
랜드마크시티센트럴더샵,2020,66400,2024,12,6,84.9999,13,송도동,311,28185,중개거래,개인,개인
무지개마을,1995,33900,2024,12,6,59.76,8,동춘동,931,28185,중개거래,개인,개인
송도SKVIEW,2019,73000,2024,12,6,84.6541,18,송도동,315-1,28185,중개거래,개인,개인
송도SKVIEW,2019,72800,2024,12,6,84.6932,34,송도동,315-1,28185,중개거래,개인,개인
송도SKVIEW,2019,72800,2024,12,6,84.6932,34,송도동,315-1,28185,중개거래,개인,개인
송도아트윈푸르지오,2015,84000,2024,12,6,84.97,25,송도동,33-1,28185,중개거래,개인,개인
글로벌캠퍼스푸르지오,2013,74000,2024,12,7,84.98,10,송도동,190-2,28185,중개거래,개인,개인
더샵그린스퀘어,2014,73500,2024,12,7,84.8669,21,송도동,192-1,28185,중개거래,개인,개인
더샵송도마리나베이,2020,63000,2024,12,7,84.202,26,송도동,308-1,28185,중개거래,개인,개인
송도더샵마스터뷰21BL,2015,80300,2024,12,7,84.92,27,송도동,110,28185,중개거래,개인,개인
송도더샵마스터뷰21BL,2015,80300,2024,12,7,84.92,27,송도동,110,28185,중개거래,개인,개인
송도더샵마스터뷰21BL,2015,80300,2024,12,7,84.92,27,송도동,110,28185,중개거래,개인,개인
송도아트윈푸르지오,2015,104000,2024,12,7,106.78,4,송도동,33-1,28185,중개거래,개인,개인
송도오션파크베르디움,2020,58500,2024,12,7,75.9833,11,송도동,310-1,28185,중개거래,개인,개인
송도오션파크베르디움,2020,68500,2024,12,7,84.847,19,송도동,310-1,28185,중개거래,개인,개인
송도오션파크베르디움,2020,62500,2024,12,7,84.9128,31,송도동,310-1,28185,중개거래,개인,개인
송도풍림아이원1단지,2005,56500,2024,12,7,84.7167,11,송도동,2-7,28185,중개거래,개인,개인
시대,1994,18000,2024,12,7,35.743,7,청학동,451,28185,중개거래,개인,개인
아주1,1997,42700,2024,12,7,113.46,6,옥련동,640-1,28185,중개거래,개인,개인
영남,1992,23300,2024,12,7,84.8,6,연수동,577,28185,중개거래,개인,개인
우성2,1994,32000,2024,12,7,59.59,16,연수동,634,28185,직거래,개인,개인
원흥,1994,17700,2024,12,7,59.86,4,옥련동,631,28185,중개거래,개인,개인
풍림3,1993,33500,2024,12,7,84.3,2,동춘동,922,28185,중개거래,개인,개인
한양2,1994,35000,2024,12,7,68.36,4,동춘동,932,28185,중개거래,개인,개인
한양2,1994,35000,2024,12,7,68.36,4,동춘동,932,28185,중개거래,개인,개인
해모로월드뷰,2012,74800,2024,12,7,84.9207,22,송도동,157,28185,중개거래,개인,개인
현대1,1993,48500,2024,12,7,84.97,4,동춘동,928,28185,중개거래,개인,개인
현대2차아파트,1995,34300,2024,12,7,84.6,10,옥련동,633,28185,중개거래,개인,개인
현대4,1997,39000,2024,12,7,84.6,16,옥련동,637-1,28185,중개거래,개인,개인
현대5,1997,24300,2024,12,7,59.985,5,옥련동,639-1,28185,중개거래,개인,개인
송도더샵그린애비뉴8단지,2012,81400,2024,12,8,84.992,4,송도동,16-7,28185,중개거래,개인,개인
송도더샵파크애비뉴,2018,128000,2024,12,8,95.18,36,송도동,103,28185,중개거래,개인,개인
송도더샵퍼스트파크F15BL,2017,78500,2024,12,8,59.98,5,송도동,102,28185,중개거래,개인,개인
e편한세상송도,2018,54800,2024,12,9,70.2331,12,송도동,319-1,28185,중개거래,개인,개인
더샵퍼스트월드,2009,78500,2024,12,9,84.99,16,송도동,4-1,28185,중개거래,개인,개인
우성1,1994,52000,2024,12,9,133.623,13,연수동,635,28185,중개거래,개인,개인
윤성,1991,16000,2024,12,9,58.68,4,옥련동,194-12,28185,중개거래,개인,개인
풍림3,1993,34000,2024,12,9,84.3,2,동춘동,922,28185,중개거래,개인,법인
풍림3,1993,34000,2024,12,9,84.3,1,동춘동,922,28185,중개거래,개인,개인
대림,1993,35000,2024,12,10,62.482,6,연수동,532,28185,중개거래,개인,개인
더샵퍼스트월드,2009,108000,2024,12,10,125.967,35,송도동,4-1,28185,중개거래,개인,개인
송도SKVIEW,2019,70400,2024,12,10,84.6932,16,송도동,315-1,28185,중개거래,개인,개인
송도더샵센트럴시티,2018,85000,2024,12,10,84.97,35,송도동,190-4,28185,중개거래,개인,개인
송도아메리칸타운아이파크,2018,82500,2024,12,10,84.0784,10,송도동,155,28185,중개거래,개인,개인
송도풍림아이원1단지,2005,59500,2024,12,10,114.7008,2,송도동,2-7,28185,직거래,개인,개인
시대,1994,18000,2024,12,10,35.743,9,청학동,451,28185,직거래,개인,개인
아주,1994,26500,2024,12,10,84.78,1,동춘동,942,28185,중개거래,개인,개인
아주1,1997,14500,2024,12,10,29.7,7,옥련동,640-1,28185,중개거래,개인,개인
유천,1993,26100,2024,12,10,60.07,8,연수동,534,28185,중개거래,개인,개인
럭키송도,1993,40750,2024,12,11,134.94,13,옥련동,626,28185,직거래,개인,개인
송도더샵센트럴시티,2018,83000,2024,12,11,84.97,32,송도동,190-4,28185,중개거래,개인,개인
송도자이하버뷰2단지,2011,115000,2024,12,11,120.745,5,송도동,19-7,28185,중개거래,개인,개인
한양1,1994,42500,2024,12,11,88.86,5,동춘동,925,28185,중개거래,개인,개인
현대1,1994,15500,2024,12,11,43.2,14,옥련동,628,28185,중개거래,개인,개인
e편한세상송도,2018,55400,2024,12,12,70.5618,14,송도동,319-1,28185,중개거래,개인,개인
더샵송도프라임뷰20BL,2022,81000,2024,12,12,70.92,19,송도동,109,28185,중개거래,개인,개인
더샵엑스포9단지,2009,87900,2024,12,12,113.7554,12,송도동,16-6,28185,중개거래,개인,개인
