단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
e편한세상영종국제도시오션하임,2018,58000,2022,4,1,84.9777,17,중산동,1887-4,28155,중개거래,,
영종신명스카이뷰주얼리,2013,28900,2022,4,1,56.619,4,중산동,1872-1,28155,중개거래,,
운서SKVIEWSkycity,2022,49000,2022,4,1,84.9701,10,운서동,3104-1,28155,중개거래,,
풍림아이원6-1단지,2003,26700,2022,4,2,59.9928,4,운서동,2708-1,28155,중개거래,,
운서SKVIEWSkycity,2022,36936,2022,4,4,77.8532,18,운서동,3104-1,28155,중개거래,,
인천영종한양수자인,2012,37500,2022,4,4,59.2156,25,중산동,1878-1,28155,중개거래,,
영종자이,2009,54500,2022,4,5,127.7293,20,운남동,1550,28155,중개거래,,
운서SKVIEWSkycity,2022,42000,2022,4,5,77.8532,19,운서동,3104-1,28155,직거래,,
영종자이,2009,59500,2022,4,6,113.006,15,운남동,1550,28155,중개거래,,
운서SKVIEWSkycity,2022,40000,2022,4,6,84.963,11,운서동,3104-1,28155,중개거래,,
풍림아이원2단지1차,2002,20000,2022,4,7,59.9919,5,운서동,2748-1,28155,중개거래,,
풍림아이원2단지1차,2002,17000,2022,4,7,59.9919,5,운서동,2748-1,28155,직거래,,
인천영종동보노빌리티,2012,44000,2022,4,8,84.873,19,중산동,1872-2,28155,중개거래,,
풍림아이원2단지1차,2002,23300,2022,4,8,59.9919,1,운서동,2748-1,28155,중개거래,,
e편한세상영종국제도시오션하임,2018,57500,2022,4,9,84.9777,10,중산동,1887-4,28155,중개거래,,
운서SKVIEWSkycity,2022,41800,2022,4,9,84.963,4,운서동,3104-1,28155,직거래,,
풍림아이원8단지,2003,50500,2022,4,9,121.5154,6,운서동,2787-2,28155,중개거래,,
운서SKVIEWSkycity,2022,40500,2022,4,10,84.963,18,운서동,3104-1,28155,중개거래,,
운서SKVIEWSkycity,2022,39742,2022,4,10,84.963,16,운서동,3104-1,28155,직거래,,
운서SKVIEWSkycity,2022,40000,2022,4,10,84.9701,16,운서동,3104-1,28155,중개거래,,
영종센트럴푸르지오자이,2019,45000,2022,4,11,64.643,23,운남동,1779,28155,중개거래,,
영종어울림1차,2009,40000,2022,4,11,84.97,11,운서동,2923,28155,중개거래,,
주공스카이빌7단지,2002,24000,2022,4,11,51.74,5,운서동,2709-3,28155,중개거래,,
풍림아이원6-2단지,2002,20500,2022,4,11,59.9919,4,운서동,2708-8,28155,중개거래,,
영종신명스카이뷰주얼리,2013,34000,2022,4,12,57.016,28,중산동,1872-1,28155,중개거래,,
운서SKVIEWSkycity,2022,40300,2022,4,12,84.963,19,운서동,3104-1,28155,직거래,,
풍림아이원6-1단지,2003,25000,2022,4,12,59.9928,4,운서동,2708-1,28155,중개거래,,
e편한세상영종국제도시오션하임,2018,49000,2022,4,13,74.983,3,중산동,1887-4,28155,직거래,,
영종하늘도시KCC스위첸,2019,47000,2022,4,13,84.966,2,중산동,1879-1,28155,중개거래,,
풍림아이원2단지1차,2002,21700,2022,4,13,59.9919,4,운서동,2748-1,28155,중개거래,,
풍림아이원6-2단지,2002,24000,2022,4,13,59.9919,1,운서동,2708-8,28155,중개거래,,
영종국제도시화성파크드림,2019,46600,2022,4,14,73.752,5,중산동,1889-2,28155,중개거래,,
운서SKVIEWSkycity,2022,37452,2022,4,14,77.8532,8,운서동,3104-1,28155,중개거래,,
영종자이,2009,49000,2022,4,15,101.1636,20,운남동,1550,28155,중개거래,,
영종힐스테이트,2012,50000,2022,4,15,83.294,18,중산동,1887-2,28155,중개거래,,
하늘도시우미린1단지,2012,38000,2022,4,15,59.94,22,중산동,1881-1,28155,중개거래,,
영종국제도시화성파크드림,2019,55000,2022,4,16,84.9421,12,중산동,1889-2,28155,중개거래,,
영종신명스카이뷰주얼리,2013,32000,2022,4,16,56.586,28,중산동,1872-1,28155,중개거래,,
영종신명스카이뷰주얼리,2013,28500,2022,4,16,56.586,6,중산동,1872-1,28155,중개거래,,
운서SKVIEWSkycity,2022,39422,2022,4,18,84.963,13,운서동,3104-1,28155,직거래,,
풍림아이원2단지1차,2002,21500,2022,4,18,59.9919,5,운서동,2748-1,28155,직거래,,
하늘도시우미린1단지,2012,40000,2022,4,18,59.94,17,중산동,1881-1,28155,직거래,,
운서SKVIEWSkycity,2022,42000,2022,4,19,77.8532,6,운서동,3104-1,28155,중개거래,,
운서SKVIEWSkycity,2022,42000,2022,4,21,84.963,20,운서동,3104-1,28155,중개거래,,
e편한세상영종국제도시오션하임,2018,50000,2022,4,22,84.9777,4,중산동,1887-4,28155,중개거래,,
e편한세상영종국제도시오션하임,2018,56000,2022,4,22,84.9777,6,중산동,1887-4,28155,중개거래,,
금호베스트빌1단지,2002,40000,2022,4,22,84.244,7,운서동,2787-1,28155,직거래,,
풍림아이원6-2단지,2002,20500,2022,4,22,59.9919,1,운서동,2708-8,28155,중개거래,,
풍림아이원2단지1차,2002,22300,2022,4,23,59.9919,1,운서동,2748-1,28155,중개거래,,
하늘도시우미린1단지,2012,35000,2022,4,23,59.85,10,중산동,1881-1,28155,중개거래,,
운서SKVIEWSkycity,2022,36300,2022,4,24,77.8532,13,운서동,3104-1,28155,중개거래,,
e편한세상영종국제도시오션하임,2018,70100,2022,4,25,84.9684,25,중산동,1887-4,28155,직거래,,
영종센트럴푸르지오자이,2019,55000,2022,4,25,84.6872,4,운남동,1779,28155,중개거래,,
영종자이,2009,49000,2022,4,25,127.7293,8,운남동,1550,28155,중개거래,,
운서SKVIEWSkycity,2022,37000,2022,4,25,77.8532,14,운서동,3104-1,28155,중개거래,,
운서SKVIEWSkycity,2022,39000,2022,4,25,84.963,5,운서동,3104-1,28155,중개거래,,
운서SKVIEWSkycity,2022,37000,2022,4,25,84.9701,2,운서동,3104-1,28155,중개거래,,
풍림아이원1단지,2002,50000,2022,4,25,120.33,5,운서동,2745-2,28155,중개거래,,
운서SKVIEWSkycity,2022,36034,2022,4,26,77.0014,18,운서동,3104-1,28155,직거래,,
운서SKVIEWSkycity,2022,36100,2022,4,26,77.0014,20,운서동,3104-1,28155,직거래,,
인천영종한양수자인,2012,36800,2022,4,26,59.2156,2,중산동,1878-1,28155,중개거래,,
운서SKVIEWSkycity,2022,39700,2022,4,27,84.963,17,운서동,3104-1,28155,직거래,,
운서SKVIEWSkycity,2022,36000,2022,4,27,84.963,1,운서동,3104-1,28155,직거래,,
e편한세상영종하늘도시,2018,50000,2022,4,28,84.8885,8,운남동,1680-2,28155,중개거래,,
운서SKVIEWSkycity,2022,40000,2022,4,28,84.963,6,운서동,3104-1,28155,직거래,,
운서SKVIEWSkycity,2022,39000,2022,4,28,84.9701,6,운서동,3104-1,28155,직거래,,
인천영종한양수자인,2012,27000,2022,4,28,59.2156,21,중산동,1878-1,28155,중개거래,,
풍림아이원5단지,2002,20800,2022,4,28,59.96,1,운서동,2743-1,28155,중개거래,,
운서SKVIEWSkycity,2022,42000,2022,4,29,84.963,5,운서동,3104-1,28155,직거래,,
주공스카이빌7단지,2002,24000,2022,4,29,51.74,9,운서동,2709-3,28155,중개거래,,
하늘도시우미린2단지,2012,47000,2022,4,29,84.6182,23,중산동,1871-3,28155,중개거래,,
e편한세상영종국제도시오션하임,2018,56000,2022,4,30,84.9777,24,중산동,1887-4,28155,중개거래,,
풍림아이원6-2단지,2002,20500,2022,4,30,59.9919,1,운서동,2708-8,28155,중개거래,,
