단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
동부,1990,16200,2014,5,1,76.66,10,송현동,66-26,28125,,,
연안아파트,1983,22000,2014,5,1,53.66,3,항동7가,91-2,28125,,,
경남아너스빌,2005,20000,2014,5,2,84.87,3,신흥동1가,34-1,28125,,,
진로,1999,15300,2014,5,2,59.89,2,송림동,94-11,28125,,,
항운,1982,21000,2014,5,2,56.155,3,신흥동3가,53-4,28125,,,
주공2,2003,17950,2014,5,3,59.92,18,송현동,165,28125,,,
풍림아이원,2009,26200,2014,5,5,114.53,17,송림동,339,28125,,,
라이프비취3차,1990,15500,2014,5,6,84.85,8,항동7가,27-107,28125,,,
만석비치타운 주공아파트,2002,14000,2014,5,6,59.63,3,만석동,122,28125,,,
연안아파트,1983,22000,2014,5,6,53.66,5,항동7가,91-2,28125,,,
풍림아이원,2009,23500,2014,5,6,84.936,10,송림동,339,28125,,,
풍림아이원,2009,11800,2014,5,7,40.353,5,송림동,339,28125,,,
풍림,1996,18400,2014,5,8,84.765,11,신흥동1가,34-8,28125,,,
풍림아이원,2009,26000,2014,5,8,114.53,21,송림동,339,28125,,,
경남아너스빌,2005,17800,2014,5,10,59.89,23,신흥동1가,34-1,28125,,,
삼익,1979,13750,2014,5,10,99.27,7,송림동,228-1,28125,,,
솔빛마을주공2차,2003,14450,2014,5,11,49.34,4,송현동,166,28125,,,
송현주공,1993,13600,2014,5,11,66.6,4,송현동,6-26,28125,,,
송현주공솔빛마을(154),2003,17550,2014,5,11,59.9,24,송현동,154,28125,,,
화도진그린빌,2001,14800,2014,5,11,59.79,2,화수동,321,28125,,,
동부,1990,14500,2014,5,12,66.828,11,송현동,66-26,28125,,,
삼성,2001,23500,2014,5,12,130.675,10,신생동,38-5,28125,,,
신흥아이파크,2002,19900,2014,5,12,84.966,13,신흥동3가,7-235,28125,,,
